name,label,category,source,terms,kind,bounded,active,notes
frac_max,Burn extent (largest single fire-year),extent,frame,dose=max(burn_frac_max),continuous,1,1,THE PROJECT HEADLINE. Bounded 0-1. Effect quoted at 100% burned.
frac_cum,Burn extent (cumulative across reburns),extent,frame,dose=max(burn_frac_cum),continuous,0,0,TRAP - exceeds 1 on reburns (max 4.47) so it is NOT a fraction; dose=1 does not mean 'fully burned'
frac_tot,Burn extent (in-window fires only),extent,cache,dose=frac_tot,continuous,1,1,Sum of class 1-4 fractions for fires 2015+. Excludes pre-window burns that burn_frac_max can include.
binary,Burned yes/no,extent,frame,dose=1,binary,1,0,SUPERSEDED - the diluted test. Median treated cell is only 29% burned. Provenance only.
mean_sev,Mean severity of burned area,severity,cache,dose=mean_sev,continuous,0,1,Area-weighted mean MTBS class 1-4. Ignores HOW MUCH burned - pair with an extent term.
max_sev,Worst severity class in the cell,severity,frame,dose=max(max_sev_prior),continuous,0,0,TRAP - SATURATES. 285 of 290 heavily burned cells return class 4. Useless as a gradient; this is why severity_effect.R section 4 finds nothing.
sev_weighted,Severity-weighted extent,severity,frame,dose=max(burn_sev_wt),continuous,0,1,Frame column combining extent and severity in one number; scale is not a fraction
high_sev_only,Fraction burned at high severity,severity,cache,dose=s4,continuous,1,1,Class 4 alone. Median is 1.7% of a cell so effects quoted at dose=1 are FAR outside the observed range.
mod_high,Fraction burned at moderate-to-high severity,severity,cache,dose=s3+s4,continuous,1,1,Classes 3+4. Less extrapolation than s4 alone.
two_dose_sev,Extent plus fraction at high severity,severity,cache,extent=frac_tot;high_sev=s4,continuous,1,1,Fixes Model A's power problem with TWO doses instead of four. Directly addresses 'severity' in the research question. OSFL high_sev t=+2.97 - the strongest signal found so far - but see high_sev_only note on extrapolation.
extent_x_meansev,Extent plus extent x mean severity,severity,cache,extent=frac_tot;extent_sev=frac_tot*mean_sev,continuous,0,1,severity_effect.R Model B - the one severity spec that worked (OSFL +0.0271 [+0.0006 +0.0535])
class_doses,One dose per MTBS severity class,severity,cache,s1=s1;s2=s2;s3=s3;s4=s4,continuous,1,0,SUPERSEDED - Model A. Failed on POWER not collinearity (condition number 6.9 VIF<2); median class-4 dose 1.7%.
decay,Time-decayed burn,timing,frame,dose=max(burn_decay),continuous,0,1,Downweights older fires. Frame column; check its half-life in regrid before interpreting.
frac_recent,Extent burned in the last 3 years,timing,frame,dose=max(burn_frac_y0_1+burn_frac_y1_3),continuous,1,1,Fresh fire only. Tests whether the effect is driven by recent burn rather than old scars.
frac_old,Extent burned more than 10 years ago,timing,frame,dose=max(burn_frac_y10_20+burn_frac_y20p),continuous,1,1,Old scars only. Should be near zero if the effect is about recent fire.
time_bands,Extent by time-since-fire band,timing,frame,y0_1=max(burn_frac_y0_1);y1_3=max(burn_frac_y1_3);y3_5=max(burn_frac_y3_5);y5_10=max(burn_frac_y5_10);y10_20=max(burn_frac_y10_20),continuous,1,1,FIVE doses at once - a recovery curve without an event study. Power is thin per band. The y20p band was DROPPED 2026-07-31: in-window fires are 2015+ so no treated cell has a 20-year-old burn; the column is all-zero among treated cells and goes to exactly 0 under demeaning which makes the system singular.
sev_bands,Severity by time-since-fire band,timing,frame,s0_1=max(burn_sev_y0_1);s1_3=max(burn_sev_y1_3);s3_5=max(burn_sev_y3_5);s5_10=max(burn_sev_y5_10);s10_20=max(burn_sev_y10_20),continuous,0,1,Severity within each time band. s20p DROPPED 2026-07-31 for the same reason as time_bands y20p - empty among treated cells and therefore singular.
n_epochs,Number of distinct fire years,reburn,frame,dose=max(n_fire_epochs),continuous,0,1,Reburn count. Max observed 11. Not a fraction.
reburn,Burned more than once,reburn,frame,dose=as.numeric(max(n_fire_epochs)>=2),binary,1,1,Binary reburn flag. 99559 cell-times sit in cells with 2+ fire years.
nbr_frac,Neighbourhood burn extent,spatial,frame,dose=max(burn_frac_nbr),continuous,1,0,TRAP - ambiguous when n_nbr=0 (9.8% of units get 0 meaning 'no neighbour visited' not 'no neighbour burned'). Filter on n_nbr>0 first.
cell_plus_nbr,Cell extent plus neighbourhood extent,spatial,frame,cell=max(burn_frac_max);nbr=max(burn_frac_nbr),continuous,1,0,Separates in-cell burn from surrounding landscape burn. Same n_nbr trap.
fire_size,Log size of the causing fire,fire_attr,perimeter,dose=log10(fire_ac+1),continuous,0,1,From the MTBS perimeter table - NOT in the cell frame. Big fires differ from small ones in terrain access and post-fire management. NB commas cannot appear in a terms expression - the CSV would split - so use x+1 rather than pmax(x 1).
fire_season,Ignition day of year,fire_attr,perimeter,dose=fire_doy,continuous,0,1,Late-season fires burn hotter and drier. Range roughly 1-365; consider centring before interpreting.
fire_month,Ignition month,fire_attr,perimeter,dose=fire_month,continuous,0,1,Coarser than fire_doy. Useful as a check that seasonality is not driving anything.
dnbr_calib,Per-fire dNBR high-severity threshold,fire_attr,perimeter,dose=high_t,continuous,0,0,The dNBR value MTBS used to call class 4 for this fire. Varies by fire so class 4 is not comparable across fires - this quantifies that. TRAP - observed max is 9999 which is a MISSING-DATA SENTINEL not a threshold; only 1407 of 1956 CA fires have clean values. Filter high_t < 2000 before using or the sentinel dominates the regression.
