column,block,role,active,notes
cell_id,meta,id,0,""
gx,geo,predictor,0,cell coordinate - the geography probe
gy,geo,predictor,0,cell coordinate - the geography probe
comp_doy,season,predictor,1,""
year,season,predictor,1,""
ci,meta,id,0,""
step_start,meta,id,0,""
date_first,meta,id,0,""
date_last,meta,id,0,""
any_detection,meta,target,0,NOT effort-neutral: 0.096 -> 0.489 as checklists go 1 -> 20
n_detections,meta,leak,0,LEAK against any_detection - never a predictor
n_checklists,effort,predictor,1,""
det_rate,meta,target,0,effort-normalised target; use for ecological questions
effort_hours,effort,predictor,1,""
dur_median,effort,predictor,1,""
dist_median,effort,predictor,1,""
obs_median,effort,predictor,1,""
frac_traveling,effort,predictor,1,""
n_locations,effort,predictor,1,""
ever_burned,burn,predictor,1,""
burn_frac_cum,burn,predictor,1,can exceed 1 on reburns - not a fraction
burn_frac_max,burn,predictor,1,""
burn_sev_wt,burn,predictor,1,""
burn_decay,burn,predictor,1,""
yrs_since_burn,burn,predictor,1,NA means NEVER BURNED; linear models need a sentinel + ever_burned flag
max_sev_prior,burn,predictor,1,SATURATES - 285 of 290 heavily burned cells return class 4
n_fire_epochs,burn,predictor,1,""
burn_frac_y0_1,burn,predictor,1,""
burn_frac_y1_3,burn,predictor,1,""
burn_frac_y3_5,burn,predictor,1,""
burn_frac_y5_10,burn,predictor,1,""
burn_frac_y10_20,burn,predictor,1,""
burn_frac_y20p,burn,predictor,1,""
burn_sev_y0_1,burn,predictor,1,""
burn_sev_y1_3,burn,predictor,1,""
burn_sev_y3_5,burn,predictor,1,""
burn_sev_y5_10,burn,predictor,1,""
burn_sev_y10_20,burn,predictor,1,""
burn_sev_y20p,burn,predictor,1,""
burn_frac_nbr,burn,predictor,1,AMBIGUOUS when n_nbr = 0 (9.8% of units); filter on n_nbr > 0
burn_decay_nbr,burn,predictor,1,""
n_nbr,meta,support,0,neighbour count; gates burn_frac_nbr. AVAILABLE but not in the current 43-feature set
ndvi_l0,veg,predictor,1,""
ndvi_l1,veg,predictor,1,""
ndvi_l2,veg,predictor,1,""
ndvi_l3,veg,predictor,1,""
evi_l0,veg,predictor,1,""
evi_l1,veg,predictor,1,""
evi_l2,veg,predictor,1,""
evi_l3,veg,predictor,1,""
ndvi_prevyr,veg,predictor,1,""
ndvi_delta_yr,veg,predictor,1,""
ndvi_trend,veg,predictor,1,""
